DATE,IMPORTER NAME,IMPORTER ADDRESS,SUPPLIER NAME,SUPPLIER ADDRESS,DECLARANT NAME,DECLARANT ADDRESS,EXPORT COUNTRY,ORIGIN COUNTRY,HS CODE,PRODUCT DESCRIPTION,PACKAGE UNIT NAME,UNIT,TOTAL PACKAGES,QUANTITY,ITEMS,ITEM NO,NO OF PACKAGES ITEM,GROSS WEIGHT KG,NET WEIGHT KG,DECLARED UNIT PRICE FC,ASSESSABLE UNIT PRICE FC,ITEM PRICE FC,TOTAL INVOICE VALUE FC,CURRENCY,TOTAL VALUE BDT,TOTAL VALUE USD,TOTAL TAX BDT,TOTAL DECLARATION,TOTAL OTHER COSTS,EXCHANGE RATE,DELIVERY TERMS,MODE OF TRANSPORT,PORT OF UNLOADING,PORT OFFICE NAME,CHAPTER,HEADING,SUB HEADING,MONTH,YEAR
29-Aug-2020,ADIB ENTERPRISE,"Plot No-89, Said Grand Center, (7thFloor), Sector No-07,; Uttara PS;Dhaka- 1230; B",JP Zwagemaker,NETHERLANDS,SURMA ENTERPRISE,"F-48, MUKTIJODDHA SHOPPING COMPLEX,ASHKONA, DHAKA",Netherlands,Netherlands,1063200,"PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS) LIVE MAJOR MITCHELLS COCKATOO",Box,NMB ,49,6,8,7,0,100,25,16.6667,20.0167,100,1251,EUR,11989.67,141.39,26895.28,27597.66,2458.33,97.8637,CFR,Air,Dhaka,Dhaka Customs House,1,106,10632,August,2020
19-Aug-2020,KARIM TRADERS,"7 No Rajar Goli, Sylhet; KotwaliPS; Sylhet- 3100; Bangladesh",ZINGELA FORWARDERS,"UNIT 13 BRENTWOOD BUSINESS PARK, BENONI, SOUTH AFRICA",MART INTERNATIONAL,"321/2, ASHKONA, DAKHIN KHAN, DHAKA-",South Africa,South Africa,1063200,"PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS) COCKATOO   PARROT",Box,NMB ,8,10,12,2,0,8,1,16,22.08,160,3550,USD,19132.1,160,51259.84,52563.46,6032.29,84.95,CPT,Air,Dhaka,Dhaka Customs House,1,106,10632,August,2020
19-Aug-2020,KHANDAKER TRADE INTERNATIONAL,"Ridge Ahmed Square, 50/1 NayaPaltan, Inner Circular (VIP) Road,Nayap",INSHA LTD,TAIWAN,SURMA ENTERPRISE,"F-48, MUKTIJODDHA SHOPPING COMPLEX,ASHKONA, DHAKA",Taiwan,Taiwan,1063900,OTHER BIRDS LIVE BUDGERIGAR,Box,NMB ,7,100,5,1,7,30,25,2.5,8.0025,250,1490,USD,69346.3,250,45653.7,46825.05,2540.01,84.95,CFR,Air,Dhaka,Dhaka Customs House,1,106,10639,August,2020
19-Aug-2020,KARIM TRADERS,"7 No Rajar Goli, Sylhet; KotwaliPS; Sylhet- 3100; Bangladesh",ZINGELA FORWARDERS,"UNIT 13 BRENTWOOD BUSINESS PARK , BENONI SOUTH AFRICA",MART INTERNATIONAL,"321/2, ASHKONA, DAKHIN KHAN, DHAKA-",South Africa,South Africa,1063900,OTHER BIRDS LOVE BIRD,Box,NMB ,8,200,12,1,8,9,1,5.3,10.017,1060,3550,USD,173592.61,1060,51259.84,52563.46,6032.29,84.95,CPT,Air,Dhaka,Dhaka Customs House,1,106,10639,August,2020
19-Aug-2020,AZMERI TRADING,"Plot # 34. H.M. Plaza, Road # 02.,Sector # 03, Uttara, Dhaka, 1230,Bangladesh",SAREFA,"STILTIYESSTROAT 1006, THEHAGUE NETHERLANDS",DIBA TRADING LTD,"PLOT-2505, ASHKONA, DAKSHINKHANDHAKA-1230",Netherlands,Netherlands,1063900,OTHER BIRDS SILVER PHEASANT,Box,NMB ,15,50,6,1,15,37.5,37.5,11,20.02,550,2000,EUR,99920.8,1178.31,38940.16,39943.66,3915.52,97.8637,CFR,Air,Dhaka,Dhaka Customs House,1,106,10639,August,2020
23-Aug-2020,INCEPTA VACCINE LIMITED CHANGED FRO,"changed from INCEPTA SPECIALTIES PHARMALIMITED 40, Shahid Tajuddin Ahmed Sa",THAI SPF CO LTD,"365 MOO 3 SARIKA A MUANG, NAKORN NAYORK, 26000,THAILAND",S.G.S COMPANY,"392,KAWLAR UTTARADHAKA",Thailand,Thailand,4071900,Birds Fertilised eggs for incubation  EXCL. Of fowls of the species Gallus domesticu SPF EGGS=1500 PCS,Box,DZN ,5,125,1,1,5,91,88,29.76,29.76,3720,3720,USD,322366.56,3720,106380.97,107216.89,6352.56,84.95,CFR,Air,Dhaka,Dhaka Customs House,4,407,40719,August,2020
16-Aug-2020,ZISHAN CORPORATION LIMITED,"Khayer Tala, Kaligonj; Naldanga PS;Jhenaidah- 7350; Bangladesh",XIAMEN FRIENDSHIP BRIDGE4 CO.LTD,CHINA,J. R. INTERNATIONAL,225 MIDDLE FAIDABADFAIDABAD MADRASHA,China,China,6022000,"Trees,Shrubs,Bushes, Grafted Or Not, Of Kind Bearing Edible Fruit Or Nuts FRUIT SEEDLINGS",Carton,NMB ,13,13,1,1,13,322,319,204.8462,204.8462,2663,2663,USD,230769.23,2663,11538.46,12145.38,4547.38,84.95,CFR,Air,Dhaka,Dhaka Customs House,6,602,60220,August,2020
16-Aug-2020,SUPREM EXPORT,"175,Ghosh Para Puratan Kasba,Jashore.; Jessore Sadar PS;Jessore- 7400; Banglade",MAA TARA EXPORT,"BAGDA ROAD, MOTIGONGBONGAON, NORTH 24 PGSWEST BENGAL, INDIA.",SUPREME ASSOCIATE,MD. TOSIRULBENAPOLE,India,India,6022000,"Trees,Shrubs,Bushes, Grafted Or Not, Of Kind Bearing Edible Fruit Or Nuts JACKFRUITE",Package,NMB ,11900,1360,23,1,1360,3223.2,3223.2,0.5,0.5,680,5950,USD,58927.27,680,30849.43,31766.13,10159.17,84.95,CFR,Road,Jessore,Benapole Custom House,6,602,60220,August,2020
20-Aug-2020,KRISHI BEED UPAKARAN NURSERY,KRISHI KHAMAR SARAKFARMGATE DHAKA-1215.,PRAN INTERNATIONAL,"BALIADANGA, PO & PS-KALIACHAKDIST. MALDA, PIN-732 201W.B, INDIA.",RIMON TRADING LTD.,MD. JULFIKAR ALI RANABENAPOLE,India,India,6022000,"Trees,Shrubs,Bushes, Grafted Or Not, Of Kind Bearing Edible Fruit Or Nuts APPLE SEEDLINGS",Unpacked or unpackaged,NMB ,9500,500,5,1,9500,1100,700,0.4,0.5,200,4000,USD,21664.38,200,20581.08,21375.61,6829.98,84.95,CFR,Road,Jessore,Benapole Custom House,6,602,60220,August,2020
16-Aug-2020,SUPREM EXPORT,"175,Ghosh Para Puratan Kasba,Jashore.; Jessore Sadar PS;Jessore- 7400; Banglade",MAA TARA EXPORT,"BAGDA ROAD, MOTIGONGBONGAON, NORTH 24 PGSWEST BENGAL, INDIA.",SUPREME ASSOCIATE,MD. TOSIRULBENAPOLE,India,India,6024000,"Roses, Grafted Or Not CHAINA ROSE",Package,NMB ,11900,900,23,7,900,2133,2133,0.5,0.5,450,5950,USD,38995.45,450,30849.43,31766.13,10159.17,84.95,CFR,Road,Jessore,Benapole Custom House,6,602,60240,August,2020
