ROWID,Country,SourceYear,Harmonized System (HS) Code,Commodities,Import value of each commodity,Percentage share of each commodity ( % ),YearCode,Year
1,India,2000-01,1,LIVE ANIMALS,134.99,0.0006,2000,"Financial Year (Apr - Mar), 2000"
2,India,2001-02,1,LIVE ANIMALS,170.19,0.0007,2001,"Financial Year (Apr - Mar), 2001"
3,India,1998-99,1,LIVE ANIMALS,147.55,0.0008,1998,"Financial Year (Apr - Mar), 1998"
4,India,2004-05,1,LIVE ANIMALS,416.4,0.0008,2004,"Financial Year (Apr - Mar), 2004"
5,India,1999-00,1,LIVE ANIMALS,187.57,0.0009,1999,"Financial Year (Apr - Mar), 1999"
6,India,2003-04,1,LIVE ANIMALS,344.57,0.001,2003,"Financial Year (Apr - Mar), 2003"
7,India,2002-03,1,LIVE ANIMALS,364.99,0.0012,2002,"Financial Year (Apr - Mar), 2002"
8,India,2005-06,1,LIVE ANIMALS,913.57,0.0014,2005,"Financial Year (Apr - Mar), 2005"
9,India,2006-07,1,LIVE ANIMALS,1402.39,0.0017,2006,"Financial Year (Apr - Mar), 2006"
10,India,2018-19,1,LIVE ANIMALS,6261.85,0.0017,2018,"Financial Year (Apr - Mar), 2018"
11,India,2021-22,1,LIVE ANIMALS,7777.28,0.0017,2021,"Financial Year (Apr - Mar), 2021"
12,India,1997-98,1,LIVE ANIMALS,279.48,0.0018,1997,"Financial Year (Apr - Mar), 1997"
13,India,2017-18,1,LIVE ANIMALS,5655.41,0.0019,2017,"Financial Year (Apr - Mar), 2017"
14,India,1996-97,1,LIVE ANIMALS,293.06,0.0021,1996,"Financial Year (Apr - Mar), 1996"
15,India,2008-09,1,LIVE ANIMALS,2868.41,0.0021,2008,"Financial Year (Apr - Mar), 2008"
16,India,2012-13,1,LIVE ANIMALS,5571.18,0.0021,2012,"Financial Year (Apr - Mar), 2012"
17,India,2011-12,1,LIVE ANIMALS,5200.41,0.0022,2011,"Financial Year (Apr - Mar), 2011"
18,India,2013-14,1,LIVE ANIMALS,6155.5,0.0023,2013,"Financial Year (Apr - Mar), 2013"
19,India,2016-17,1,LIVE ANIMALS,6203.06,0.0024,2016,"Financial Year (Apr - Mar), 2016"
20,India,2010-11,1,LIVE ANIMALS,4166.73,0.0025,2010,"Financial Year (Apr - Mar), 2010"
21,India,2015-16,1,LIVE ANIMALS,6122.99,0.0025,2015,"Financial Year (Apr - Mar), 2015"
22,India,2020-21,1,LIVE ANIMALS,7687.67,0.0026,2020,"Financial Year (Apr - Mar), 2020"
23,India,2019-20,1,LIVE ANIMALS,8712.55,0.0026,2019,"Financial Year (Apr - Mar), 2019"
24,India,2014-15,1,LIVE ANIMALS,7397.99,0.0027,2014,"Financial Year (Apr - Mar), 2014"
25,India,2007-08,1,LIVE ANIMALS,3009.86,0.003,2007,"Financial Year (Apr - Mar), 2007"
26,India,2009-10,1,LIVE ANIMALS,5381.44,0.0039,2009,"Financial Year (Apr - Mar), 2009"
27,India,1998-99,2,MEAT AND EDIBLE MEAT OFFAL,4.06,0,1998,"Financial Year (Apr - Mar), 1998"
28,India,2003-04,2,MEAT AND EDIBLE MEAT OFFAL,16.94,0,2003,"Financial Year (Apr - Mar), 2003"
29,India,1999-00,2,MEAT AND EDIBLE MEAT OFFAL,26.04,0.0001,1999,"Financial Year (Apr - Mar), 1999"
30,India,2002-03,2,MEAT AND EDIBLE MEAT OFFAL,37.02,0.0001,2002,"Financial Year (Apr - Mar), 2002"
31,India,1996-97,2,MEAT AND EDIBLE MEAT OFFAL,21.68,0.0002,1996,"Financial Year (Apr - Mar), 1996"
32,India,2000-01,2,MEAT AND EDIBLE MEAT OFFAL,42.74,0.0002,2000,"Financial Year (Apr - Mar), 2000"
33,India,2001-02,2,MEAT AND EDIBLE MEAT OFFAL,58.95,0.0002,2001,"Financial Year (Apr - Mar), 2001"
34,India,2006-07,2,MEAT AND EDIBLE MEAT OFFAL,150.35,0.0002,2006,"Financial Year (Apr - Mar), 2006"
35,India,2004-05,2,MEAT AND EDIBLE MEAT OFFAL,130.54,0.0003,2004,"Financial Year (Apr - Mar), 2004"
36,India,2005-06,2,MEAT AND EDIBLE MEAT OFFAL,198.33,0.0003,2005,"Financial Year (Apr - Mar), 2005"
37,India,2007-08,2,MEAT AND EDIBLE MEAT OFFAL,296.69,0.0003,2007,"Financial Year (Apr - Mar), 2007"
38,India,2008-09,2,MEAT AND EDIBLE MEAT OFFAL,376.47,0.0003,2008,"Financial Year (Apr - Mar), 2008"
39,India,2010-11,2,MEAT AND EDIBLE MEAT OFFAL,498.15,0.0003,2010,"Financial Year (Apr - Mar), 2010"
40,India,2011-12,2,MEAT AND EDIBLE MEAT OFFAL,798.3,0.0003,2011,"Financial Year (Apr - Mar), 2011"
41,India,2009-10,2,MEAT AND EDIBLE MEAT OFFAL,543.24,0.0004,2009,"Financial Year (Apr - Mar), 2009"
42,India,2012-13,2,MEAT AND EDIBLE MEAT OFFAL,1087.42,0.0004,2012,"Financial Year (Apr - Mar), 2012"
43,India,2013-14,2,MEAT AND EDIBLE MEAT OFFAL,1188.5,0.0004,2013,"Financial Year (Apr - Mar), 2013"
